id,state_name,year,YIELD,AWC,SOM,CEC,Latitude,Longitude,EVI_AVG,GCI_AVG,NDVI_AVG,NDWI_AVG,ppt (mm)_AVG,tmax (degrees C)_AVG,tmean (degrees C)_AVG,tmin (degrees C)_AVG,ssm_AVG,susm_AVG,HIST_AVG_YIELD
1083,ALABAMA,2017,198.9,0.14,0.77,16.61,34.83,-86.99,0.4,7.44,0.59,0.35,124.67,22.82,16.98,11.13,22.51,136.42,112.9
1083,ALABAMA,2018,183.2,0.14,0.77,16.61,34.83,-86.99,0.38,8.79,0.57,0.35,141.09,22.08,16.44,10.82,18.68,110.73,155.9
1083,ALABAMA,2019,160.7,0.14,0.77,16.61,34.83,-86.99,0.38,7.03,0.58,0.36,162.18,22.92,17.05,11.15,18.0,107.18,165.0
1083,ALABAMA,2020,180.1,0.14,0.77,16.61,34.83,-86.99,0.39,7.6,0.59,0.36,149.16,22.01,16.26,10.54,18.09,107.9,163.9
1083,ALABAMA,2021,192.6,0.14,0.77,16.61,34.83,-86.99,0.4,7.73,0.59,0.38,143.91,21.82,16.08,10.32,17.43,105.19,167.2
1083,ALABAMA,2022,117.2,0.14,0.77,16.61,34.83,-86.99,0.38,6.96,0.56,0.35,123.09,22.03,15.81,9.54,15.85,86.54,171.4
1087,ALABAMA,2016,131.9,0.13,0.87,18.62,32.37,-85.67,0.39,11.98,0.7,0.51,92.1,25.81,19.03,12.24,11.76,47.79,131.9
1087,ALABAMA,2017,151.3,0.13,0.87,18.62,32.37,-85.67,0.38,14.18,0.72,0.54,134.3,24.99,18.7,12.41,20.4,85.52,131.9
1087,ALABAMA,2020,157.4,0.13,0.87,18.62,32.37,-85.67,0.42,14.68,0.73,0.55,163.33,24.84,18.56,12.27,13.68,55.68,141.6
1089,ALABAMA,2016,150.7,0.15,1.0,23.24,34.77,-86.57,0.26,3.9,0.43,0.2,94.82,22.73,16.68,10.62,13.93,81.3,150.7
1089,ALABAMA,2017,176.7,0.15,1.0,23.24,34.77,-86.57,0.27,3.99,0.45,0.2,128.22,22.04,16.44,10.9,22.47,134.11,150.7
1089,ALABAMA,2018,159.7,0.15,1.0,23.24,34.77,-86.57,0.27,3.72,0.43,0.21,136.15,21.56,16.14,10.71,19.51,114.25,163.7
1089,ALABAMA,2019,179.9,0.15,1.0,23.24,34.77,-86.57,0.28,4.24,0.45,0.21,149.5,22.68,16.88,11.04,17.82,104.15,162.4
1089,ALABAMA,2020,157.6,0.15,1.0,23.24,34.77,-86.57,0.29,4.76,0.49,0.26,153.84,21.78,16.23,10.68,16.92,98.9,166.8
1089,ALABAMA,2021,189.9,0.15,1.0,23.24,34.77,-86.57,0.27,3.6,0.44,0.22,141.89,21.51,16.02,10.51,19.18,114.44,164.9
1089,ALABAMA,2022,152.5,0.15,1.0,23.24,34.77,-86.57,0.29,4.53,0.46,0.25,129.23,21.61,15.72,9.86,16.28,87.78,169.1
1091,ALABAMA,2016,137.2,0.14,1.03,20.82,32.2,-87.76,0.41,16.6,0.75,0.6,109.56,25.41,18.76,12.12,12.51,49.71,137.2
1091,ALABAMA,2020,124.3,0.14,1.03,20.82,32.2,-87.76,0.42,16.71,0.77,0.61,129.2,24.48,18.34,12.24,14.3,57.4,137.2
1091,ALABAMA,2022,60.4,0.14,1.03,20.82,32.2,-87.76,0.39,12.55,0.73,0.58,144.04,24.38,17.82,11.27,14.92,62.61,130.8
1099,ALABAMA,2016,122.4,0.14,0.84,6.55,31.56,-87.38,0.45,18.26,0.79,0.64,111.67,25.59,18.98,12.35,12.7,49.77,122.4
1099,ALABAMA,2017,171.5,0.14,0.84,6.55,31.56,-87.38,0.45,18.99,0.79,0.64,157.44,25.32,19.1,12.86,18.38,73.54,122.4
1099,ALABAMA,2018,157.6,0.14,0.84,6.55,31.56,-87.38,0.44,20.26,0.8,0.65,137.08,25.03,19.02,13.02,18.41,72.97,147.0
1099,ALABAMA,2019,124.1,0.14,0.84,6.55,31.56,-87.38,0.45,20.58,0.81,0.65,105.69,26.2,19.86,13.48,14.74,58.06,150.5
1099,ALABAMA,2020,159.5,0.14,0.84,6.55,31.56,-87.38,0.45,18.36,0.79,0.62,123.58,25.58,19.42,13.3,15.3,61.26,143.9
